timestamp,PV_production,base_consumption,var_consumption,battery_consumption,self_consumption
2017-08-14 00:00:00,0.005576958103590727,0.20010162069356546,0,0,0.005576958103590727
2017-08-14 01:00:00,0.004953926630147761,0.13175713719499343,0,0,0.004953926630147761
2017-08-14 02:00:00,0.003743775499798936,0.16521963869622097,0,0,0.003743775499798936
2017-08-14 03:00:00,0.0009833096009637275,0.22184960069806609,0,0,0.0009833096009637275
2017-08-14 04:00:00,0.04134549484898889,0.22594100098915598,0,0,0.04134549484898889
2017-08-14 05:00:00,0.3341004899569197,0.2473061435493543,0,0.08679434640756542,0.3341004899569197
2017-08-14 06:00:00,1.089091311044732,1.017374538208017,0,0.07171677283671496,1.089091311044732
2017-08-14 07:00:00,2.3466472254606594,1.541948939732933,0,0.8046982857277265,2.3466472254606594
2017-08-14 08:00:00,3.3989295159578243,0.4738012203274395,1.2,1.725128295630385,3.3989295159578243
2017-08-14 09:00:00,4.097520952004898,0.9121960613852178,1.2,1.9853248906196808,4.097520952004898
2017-08-14 10:00:00,4.5571799312949,0.5045451852006052,0,4.052634746094295,4.5571799312949
2017-08-14 11:00:00,5.063567752119441,0.5075336587543496,0.4,1.6119681962721437,2.519501855026493
2017-08-14 12:00:00,4.869922072342626,0.2511019273165267,0.4,0,0.6511019273165267
2017-08-14 13:00:00,4.137283198941668,0.376298272854032,0.4,0,0.776298272854032
2017-08-14 14:00:00,3.501901001908572,0.6751577332724733,0,0,0.6751577332724733
2017-08-14 15:00:00,2.3827812550391365,0.19940935219134415,0,0,0.19940935219134415
2017-08-14 16:00:00,1.4238254809174562,0.47948412316667854,0,0,0.47948412316667854
2017-08-14 17:00:00,0.4570871295938626,1.073967051526952,0,0,0.4570871295938626
2017-08-14 18:00:00,0.08741639771865671,4.014322223746116,0,0,0.08741639771865671
2017-08-14 19:00:00,0.00694092466553932,5.219201097374049,0,0,0.00694092466553932
2017-08-14 20:00:00,0.004700840944798265,2.604408597038328,0,0,0.004700840944798265
2017-08-14 21:00:00,0.005193406784460342,2.4839334888072577,0,0,0.005193406784460342
2017-08-14 22:00:00,0.0077095057934257125,1.1580262034996538,0,0,0.0077095057934257125
2017-08-14 23:00:00,0.005340961170352202,0.19408119154250164,0,0,0.005340961170352202
2017-08-15 00:00:00,0.0044746523002894755,0.20756032491023585,0,0,0.0044746523002894755
2017-08-15 01:00:00,0.004253077927491861,0.2065338099625823,0,0,0.004253077927491861
2017-08-15 02:00:00,0.0038068260181924533,0.13840842988288832,0,0,0.0038068260181924533
2017-08-15 03:00:00,0.003436667794808187,0.15119006176049368,0,0,0.003436667794808187
2017-08-15 04:00:00,0.02734195736040332,0.17461333881078994,0,0,0.02734195736040332
2017-08-15 05:00:00,0.3054656724634042,0.33055616132539484,0,0,0.3054656724634042
2017-08-15 06:00:00,1.166190650821478,0.4916163218038389,0,0.6745743290176391,1.166190650821478
2017-08-15 07:00:00,2.136461003490954,0.4148025571058983,0,1.7216584463850557,2.136461003490954
2017-08-15 08:00:00,3.114846213115192,0.8703389504738491,0,2.244507262641343,3.114846213115192
2017-08-15 09:00:00,3.6527624344769847,0.48091520804738475,0,3.1718472264296,3.6527624344769847
2017-08-15 10:00:00,4.792553702220542,0.2981743941828032,0,4.494379308037739,4.792553702220542
2017-08-15 11:00:00,5.028443287301699,0.3487203257827399,0,1.1930334274886238,1.5417537532713639
2017-08-15 12:00:00,4.817793419110936,1.2328808239129427,0,0,1.2328808239129427
2017-08-15 13:00:00,4.362142585536828,0.23501899678037091,0,0,0.23501899678037091
2017-08-15 14:00:00,2.6955827827136143,0.5296067164640457,0,0,0.5296067164640457
2017-08-15 15:00:00,1.3308148486097575,0.5632213487415826,0,0,0.5632213487415826
2017-08-15 16:00:00,0.2906906605171315,0.23280260237541162,0,0,0.23280260237541162
2017-08-15 17:00:00,0.2736488501901738,0.9860326188160606,0,0,0.2736488501901738
2017-08-15 18:00:00,0.04745265365089993,1.5314275689946917,0,0,0.04745265365089993
2017-08-15 19:00:00,0.003561545692509851,3.500289717134878,0,0,0.003561545692509851
2017-08-15 20:00:00,0.003832196961072882,0.37818164724863423,0,0,0.003832196961072882
2017-08-15 21:00:00,0.005114511722626525,1.3156153157446115,0,0,0.005114511722626525
2017-08-15 22:00:00,0.002893865471627587,0.5439704272584791,0,0,0.002893865471627587
2017-08-15 23:00:00,0.008205657661255441,0.44612415741728034,0,0,0.008205657661255441
