date,hour,DHI,GHI,precipitation,sunshine_dur,temp,apparent_zenith,azimuth,DNI,irradiance,power_output,PV_noise,power_output_noisy
2017-09-16,0,1.0,2.3333333333333335,0.0,0.0,6.416666666666667,127.81629689174106,20.42647585351662,0.0,1.2848928673685054,6.745687553684654,0.5090632404353529,6.2366243132493
2017-09-16,1,1.1666666666666667,2.5,0.0,0.0,5.566666666666667,122.90606663362577,37.81347967685018,0.0,1.4505543045350704,7.615410098809119,0.48846204498379225,7.126948053825327
2017-09-16,2,1.1666666666666667,2.1666666666666665,0.0,0.0,4.683333333333334,115.72146019823133,52.93444921928986,0.0,1.3687319080189615,7.1858425170995455,0.8701580648026743,6.315684452296874
2017-09-16,3,0.8333333333333334,2.0,0.0,0.0,4.8,107.02211931962863,66.0757522688274,0.0,0.9241665338799536,4.8518743028697555,0.3659970883944253,4.485877214475331
2017-09-16,4,0.8333333333333334,2.0,0.0,0.0,5.550000000000001,97.42077108535027,77.88231064795593,0.0,0.8448670147183721,4.4355518272714525,0.3297924482883121,4.105759378983141
2017-09-16,5,10.0,11.5,0.0,0.0,5.833333333333333,87.17958188515878,89.05680326269062,49.16055755196631,10.478154503033627,55.010311140926525,7.2236391955267605,47.786671945399775
2017-09-16,6,81.33333333333333,106.16666666666667,0.0,9.0,7.383333333333333,77.25063234352757,100.29491666639318,101.8919733677315,112.2090715030147,589.0976253908271,37.60821183423634,551.4894135565908
2017-09-16,7,127.5,205.33333333333334,0.0,21.0,9.149999999999999,67.59501219531677,112.32456491248263,193.9487469981309,240.8461467863957,1264.4422706285775,65.39438008374613,1199.0478905448313
2017-09-16,8,91.33333333333333,484.0,0.0,60.0,11.966666666666669,58.79044160092578,125.94963860211101,749.8956623048845,649.3258141365324,3408.960524216796,183.41544272204405,3225.545081494751
2017-09-16,9,93.5,633.6666666666666,0.0,60.0,14.049999999999999,51.53071571850677,141.97303776496298,868.473112873366,863.0846454037787,4531.194388369838,344.01400714881464,4187.180381221023
2017-09-16,10,134.83333333333334,731.6666666666666,0.0,60.0,15.899999999999999,46.69946524334265,160.7751732194906,870.27168810075,995.979588363226,5228.892838906936,332.45772119876193,4896.435117708174
2017-09-16,11,237.5,550.0,0.0,34.0,16.633333333333333,45.1585547667622,181.53383744804842,442.9950000325795,708.0935200600607,3717.4909803153187,316.4936192843583,3400.9973610309594
2017-09-16,12,243.83333333333334,498.3333333333333,0.0,30.0,17.05,47.24854742110438,202.10765610879113,379.0068316458562,634.0808627243274,3328.9245293027184,179.8871050986759,3149.037424204043
2017-09-16,13,193.83333333333334,287.1666666666667,0.0,10.0,16.183333333333334,52.51852249693143,220.49506652586913,147.82750177024062,340.08463918949946,1785.4443557448715,85.28396768931647,1700.1603880555551
2017-09-16,14,123.66666666666667,502.1666666666667,0.0,60.0,15.466666666666667,60.07609532465506,236.10099838640102,759.6540183568617,668.3239263694024,3508.7006134393628,332.02796213626544,3176.6726513030967
2017-09-16,15,86.33333333333333,136.83333333333334,0.0,16.0,14.466666666666667,69.06269858628136,249.4167535316673,123.7303934523078,156.37096007182168,820.9475403770639,81.8915466969113,739.0559936801525
2017-09-16,16,23.333333333333332,24.5,0.5,0.0,13.033333333333331,78.81260822591257,261.2607751355663,6.451221052080357,23.76812633145585,124.78266324014318,4.347965552069442,120.43469768807375
2017-09-16,17,4.166666666666667,5.5,2.6,0.0,11.283333333333333,88.8190249122211,272.4249814004379,28.875531299646372,4.761287917832672,24.996761568621533,1.4846339302590776,23.512127638362454
2017-09-16,18,1.0,2.1666666666666665,0.5,0.0,9.866666666666667,99.02671705677703,283.62897671410065,0.0,1.0279723595013246,5.396854887381953,0.5226554352134184,4.8741994521685355
2017-09-16,19,1.1666666666666667,2.1666666666666665,0.0,0.0,9.366666666666667,108.5631736565311,295.5705650533369,0.0,1.2910320568062879,6.777918298233011,0.2849919814059457,6.492926316827064
2017-09-16,20,1.0,2.1666666666666665,0.0,0.0,8.416666666666668,117.1265186521117,308.95887035512504,0.0,1.1976183174848936,6.28749616679569,0.49577483619054047,5.791721330605149
2017-09-16,21,0.6666666666666666,1.6666666666666667,0.0,0.0,8.516666666666667,124.0791957017588,324.42585775956826,0.0,0.8375921313105947,4.3973586893806225,0.2307839928010531,4.166574696579569
2017-09-16,22,1.0,2.0,0.0,0.0,8.450000000000001,128.64233441623122,342.18010099014197,0.0,1.258518192556923,6.607220510923846,0.45020997837694904,6.157010532546898
2017-09-16,23,1.0,2.1666666666666665,0.0,0.0,8.316666666666668,130.09766226111762,181.4815940384616,0.0,1.2699201122725015,6.667080589430633,0.4942807826491417,6.172799806781491
2017-09-17,0,1.0,2.0,0.0,0.0,8.25,128.16964841045512,20.65135344084994,0.0,1.2580151222521643,6.604579391823862,0.7452125543141085,5.859366837509754
2017-09-17,1,1.0,2.0,0.0,0.0,7.8999999999999995,123.22000130024433,38.100805620766124,0.0,1.244424211417152,6.533227109940047,0.4868888540104736,6.046338255929574
